P122144 rev 3: EBOM
, , , , , , , , , , , , , , , , , , ,
Level,부품 번호,개정,수량,Unit Of Measure,부품 명,상태,Ref Des,공정,쪽보드,="F/N",RoHS 결과,SAP반제품코드,현재고(A등급),현재고(B등급),부품 상태,이동평균가,구매업체명,부품그룹,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R691,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R690,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R479,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R480,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R752,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R765,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R757,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R756,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R759,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R761,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
